cell,tot_70,fast_70,fast_total,nonfast_70,nonfast_total,jem-date_patch,jem-id_species,jem-id_patched_cell_container,jem-id_rig_user,jem-roi_super,jem-roi_major,jem-roi_minor,cell_id,rna_amplification_pass_fail,Genes.Detected.CPM,avg.cor,ttype,supertype,subclass,ephys_qc,failed_bad_rs,failed_electrode_0,tau,avg_isi,upstroke_downstroke_ratio_short_square,threshold_v_ramp,peak_v_short_square,upstroke_downstroke_ratio_ramp,sag,trough_t_ramp,slow_trough_v_ramp,vrest,has_pause,trough_v_long_square,input_resistance_mohm,trough_t_short_square,fast_trough_v_ramp,trough_t_long_square,threshold_v_long_square,slow_trough_v_long_square,peak_t_ramp,threshold_t_short_square,slow_trough_t_long_square,input_access_resistance_ratio,fast_trough_t_long_square,ri,threshold_t_long_square,threshold_v_short_square,threshold_t_ramp,vm_for_sag,threshold_i_long_square,threshold_i_short_square,slow_trough_t_ramp,peak_v_ramp,fast_trough_v_short_square,fast_trough_t_short_square,fast_trough_t_ramp,initial_access_resistance_mohm,slow_trough_t_short_square,threshold_i_ramp,slow_trough_v_short_square,peak_t_short_square,trough_v_short_square,f_i_curve_slope,created_at,peak_t_long_square,seal_gohm,trough_v_ramp,latency,fast_trough_v_long_square,upstroke_downstroke_ratio_long_square,,peak_v_long_square,adaptation
Sst-IRES-Cre;Ai14-508748.06.06.02,1.441635787,0.729713478,0.50617048,0.891163589,0.618161394,2/4/2020,Mouse,P1S4_200204_002_A01,kristenh,Cortical,ORB,L6a,1004979234,Pass,9226,0.760656147,0818 Sst Gaba_16,Sst Gaba_16,Sst,manual_passed,TRUE,TRUE,,,2.234580219,-48.36458206,3.200000048,2.538615799,,3.022313333,,,,,,1.06358,-60.92708206,,,,3.020006667,0.50322,,,,,,-41.15000153,3.019486667,,,670,,5.1875,-65.55000305,0.50662,3.022053333,,,63.04166794,,0.50364,-82.78125763,,29:31.0,,,-61.07917404,,,,,,
Rbp4-Cre_KL100;Ai14-499548.03.01.01,3.640399911,1.653870476,0.454310108,2.253648969,0.619066318,12/4/2019,Mouse,P1S4_191204_001_A01,kristenh,Cortical,VISp,L4,992219189,Pass,7749,0.7368035,0073 L4/5 IT CTX Glut_1,L4/5 IT CTX Glut_1,L4/5 IT CTX,manual_passed,TRUE,TRUE,,,4.359473539,-33.10375214,47.5390625,4.355246658,,10.625748,-49.29375229,,,,,0.967965,-42.90625,,,,10.59756,0.50307,,,,,,-43.53594208,10.59706,,,1050,10.625748,48.01250076,-49.57656479,0.506395,10.602468,,,252.4750061,,0.50349,-72.57968903,,10:58.1,,,-49.29375076,,,,,,
C57BL6J-618128.06.04.01,4.0095927,1.587701034,0.39597564,2.492716789,0.62168828,3/21/2022,Mouse,PJS4_220321_801_A01,sarav,Subcortical,STRv,ACB,1165639132,Pass,7243,0.720721461,0945 STR D1 Gaba_1,STR D1 Gaba_1,STR D1,auto_passed,FALSE,FALSE,8.236247607,86.9085,3.453606116,-21.1015625,58.9375,3.794836588,0.094803587,6.0449925,-35.21875381,-69.63291931,,-35.15625,188.907504,0.871845,-28.484375,0.806095,-22.90625191,-35.15625,6.0056275,0.50315,0.806095,0.062279723,0.77651,125.9374619,0.772615,-21.34375,6.0049875,-82.71875,130,1009.999939,6.0449925,64.3203125,-40.4375,0.506635,6.00913625,11.765107,,137.71875,,0.50364,-70.09375,0.127688793,32:55.6,0.773215,7.73740544,-35.21875381,0.089025,-30.06250191,4.004062626,,62.75000381,0.043833964
Nos1-CreERT2;Sst-IRES-FlpO;Ai65-452641.04.02.01,2.039191538,1.410544038,0.691717287,1.268111145,0.62186956,3/28/2019,Mouse,P8S4_190328_351_A01,lindsayn,Cortical,VISp,L6a,842721522,Pass,10533,0.799350763,0859 Sst Chodl Gaba_4,Sst Chodl Gaba_4,Sst Chodl,manual_passed,FALSE,FALSE,54.90182427,133.89,1.845989431,-28.36874962,12.0895834,2.789761048,0.049335912,2.646013333,-43.0729154,-60.40756226,,-46.32500076,157.118224,1.127486667,-38.7270813,1.23088,-29.09375,,2.581753333,0.502186667,,0.104484487,1.14366,252.7114451,1.14098,-37.64687347,2.581106667,-89.24375153,40,790,2.646013333,36.92083359,-51.32999878,0.506268,2.58386,16.416417,,52.08333206,,0.503513333,-53.30103683,0.149438202,09:07.0,1.1416,2.477703424,-43.07291794,0.11722,-39.98125076,3.002595339,,42.20000076,0.071161654
Sst-IRES-Cre;Ai14-510707.10.06.03,5.330835196,2.596030311,0.486983787,3.316020333,0.622045179,2/18/2020,Mouse,PES4_200218_652_A01,katherineb,Cortical,ORB,L6a,1008084793,Pass,9096,0.72465806,0758 Sst Gaba_1,Sst Gaba_1,Sst,auto_passed,FALSE,FALSE,15.85069179,,1.93242121,-31.21875,33.14999771,1.692135621,0.016263869,5.758983333,,-62.04404036,,-54.09375,102.34044,0.71352,-53.97395706,0.6198,-34.21875,,5.757386667,0.50328,,0.092514797,0.6197,143.9374983,0.61788,-43.54375076,5.756883333,-77.98749542,80,460,,27.23124886,-56.84375,0.50506,5.758836667,9.468005,,131.4791718,,0.50372,-63.09375,0.220253165,35:26.8,0.61836,1.628422144,-54.07291794,0.08718,-53.96875,1.811072196,,31.125,
Htr3a-Cre_NO152;Ai14-506092.09.06.01,3.474949197,1.768055773,0.508800466,2.171836532,0.624998067,1/14/2020,Mouse,PAS4_200114_451_A01,ramr,Cortical,CTXsp,CLA,1000015164,Pass,9501,0.741727446,0676 Sncg Gaba_3,Sncg Gaba_3,Sncg,manual_passed,TRUE,TRUE,,,2.719168325,-33.77249908,36.6328125,3.606031021,,4.35226,-45.81250076,,,,,1.047095,-39.72500229,,,,4.222036,0.503295,,,,,,-37.60312653,4.221536,,,1019.999939,4.35226,38.87749863,-42.44374847,0.505145,4.224116,,,93.07499695,,0.50374,-72.890625,,21:07.3,,,-45.8125,,,,,,
Ntsr1-Cre_GN220;Ai14-473970.03.02.01,3.999734881,1.622000687,0.40552705,2.51768539,0.629463068,7/12/2019,Mouse,P8S4_190712_351_A01,lindsayn,Cortical,VISp,L6a,904626210,Pass,6677,0.807379405,0439 L6 CT CTX Glut_1,L6 CT CTX Glut_1,L6 CT CTX,manual_passed,TRUE,TRUE,,,2.628157678,-19.11666679,40.20000076,1.996938619,,8.050706667,-36.9791654,,,,,0.86292,-33.3604126,,,,8.022793333,0.50312,,,,,,-33.546875,8.022086667,,,600,8.050706667,35.32708359,-44.93437958,0.50556,8.024666667,,,188.125,,0.50366,-70.62187958,,25:42.1,,,-36.97916412,,,,,,
Gad2-IRES-Cre;Ai14-471160.04.02.03,8.963137477,3.361430049,0.375028282,5.64517114,0.629820881,6/27/2019,Mouse,P8S4_190627_353_A01,lindsayn,Cortical,VISp,L5,895777329,Pass,11275,0.703112836,0058 L5 IT CTX Glut_2,L5 IT CTX Glut_2,L5 IT CTX,manual_passed,TRUE,TRUE,19.95418855,125.8457143,3.205260675,-35.62083435,43.51041794,3.395784843,0.104278356,3.915886667,-53.61250178,-69.2191925,,-54.40625,,0.664506667,-43.68958664,0.73342,-37.38125229,,3.845713333,0.503146667,,,0.6458,133.3749741,0.64308,-37.6479187,3.845226667,-84.78125,80,840,3.915886667,45.11249924,-44.46667099,0.505413333,3.848286667,,,83.66666412,,0.50358,-69.72499847,0.150000004,15:45.4,0.64356,,-53.61249924,0.0551,-44.08125305,3.431013521,,47.03750229,0.136635833
CMV-Cre;Scn1a-A1783V-571363.04.02.01,34.62596967,13.53033945,0.390756983,21.84601366,0.630914134,2/24/2021,Mouse,PXS4_210224_801_A01,sarav,Cortical,VISp,L5,1086182963,Pass,6448,0.679815366,0754 Pvalb Gaba_8,Pvalb Gaba_8,Pvalb,auto_failed,FALSE,TRUE,,,,,,,,,,,,,173.845472,,,,,,,,,0.070019833,,,,,,,,,,,,,,12.172631,,,,,,,,,1.086603776,,,,,,,
Ntsr1-Cre_GN220;Ai14-482442.04.02.02,4.900667005,2.443884646,0.498684086,3.114081882,0.635440416,8/20/2019,Mouse,P8S4_190820_352_A01,lindsayn,Cortical,VISp,L6b,927532600,Pass,7871,0.789754506,0437 L6 CT CTX Glut_1,L6 CT CTX Glut_1,L6 CT CTX,manual_passed,TRUE,TRUE,,,3.001332742,-22.578125,43.16874695,1.787505643,,11.235795,-42.078125,,,,,1.37585,-37.06718826,,,,11.212195,0.50306,,,,,,-43.43125153,11.211205,,,730,11.235795,26.69687653,-50.04375458,0.50607,11.215335,,,267.8125,,0.50356,-70.43437195,,42:40.9,,,-42.078125,,,,,,
