patched_cell_container,cell_name,cell_id,KCNMA1,KCNN1,KCNN2,KCNN3,KCNN4,KCNU1,KCNJ1,KCNJ2,KCNJ3,KCNJ4,KCNJ5,KCNJ6,KCNJ8,KCNJ9,KCNJ10,KCNJ11,KCNJ12,KCNJ13,KCNJ14,KCNJ15,KCNJ16,KCNJ18,KCNT1,KCNT2,KCNK1,KCNK2,KCNK3,KCNK4,KCNK5,KCNK6,KCNK7,KCNK9,KCNK10,KCNK12,KCNK13,KCNK15,KCNK16,KCNK17,KCNK18,KCNA1,KCNA2,KCNA3,KCNA4,KCNA5,KCNA6,KCNA7,KCNA10,KCNB1,KCNB2,KCNC1,KCNC2,KCNC3,KCNC4,KCND1,KCND2,KCND3,KCNF1,KCNG1,KCNG2,KCNG3,KCNG4,KCNH1,KCNH2,KCNH3,KCNH4,KCNH5,KCNH6,KCNH7,KCNH8,KCNQ1,KCNQ2,KCNQ3,KCNQ4,KCNQ5,KCNS1,KCNS2,KCNS3,KCNV1,KCNV2
PAS4_211116_455_A01,SC21.26.030.14.07.05,1141033358,9.015207324,5.027591434,0,5.431528796,3.528483274,0,0,7.652820739,0,0,0,7.108637828,0,0,0,3.528483274,0,0,0,0,4.464576235,0,4.464576235,4.464576235,6.994031473,6.005305091,4.464576235,0,0,0,0,0,0,0,5.746755581,0,0,0,0,8.401977961,7.214806161,0,0,7.575216439,0,0,0,6.582761643,7.726462837,0,0,0,0,0,8.209942051,7.214806161,6.869529113,0,5.027591434,5.027591434,0,5.027591434,0,6.733258848,6.414716793,3.528483274,0,3.528483274,0,3.528483274,4.464576235,5.746755581,0,10.15386098,0,0,4.464576235,6.005305091,0
PNS4_211116_851_A01,SC21.26.030.14.08.02,1140964865,8.334473058,0,5.553688289,0,0,0,0,0,4.584080706,4.584080706,0,5.553688289,0,0,0,0,0,0,0,4.584080706,4.584080706,0,0,6.538248562,5.553688289,0,0,0,0,0,0,0,0,0,6.538248562,0,0,0,0,5.553688289,0,0,0,0,0,0,0,7.118027548,0,8.847704791,0,0,4.584080706,0,0,0,0,0,0,0,0,0,0,0,0,7.338935539,0,0,0,0,0,4.584080706,0,6.538248562,0,0,0,0,0
PNS4_211116_852_A01,SC21.26.030.14.08.03,1140981055,6.922875064,5.934716326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.934716326,0,0,6.922875064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.934716326,5.934716326,0,5.934716326,0,0,6.922875064,0,11.37091227,0,0,0,0,0,6.922875064,0,0,0,5.934716326,0,0,0,0,5.934716326,0,0,0,0,0,0,0,0
PRS4_211116_251_A01,SC21.26.030.14.06.01,1140962027,8.353100561,0,5.790031363,0,0,0,0,0,0,4.815872177,0,6.77693529,0,0,0,0,0,0,0,4.815872177,5.790031363,0,4.815872177,5.790031363,7.939532997,0,0,0,0,0,0,0,4.815872177,0,6.366276371,0,0,0,0,0,6.366276371,0,0,0,0,0,0,8.353100561,7.770342403,0,6.366276371,0,5.790031363,0,8.46823835,0,7.578641012,6.366276371,0,0,0,7.939532997,0,0,4.815872177,6.366276371,4.815872177,8.090948296,4.815872177,5.790031363,0,8.22797072,7.578641012,4.815872177,0,0,7.096229845,0,0
PRS4_211116_252_A01,SC21.26.030.14.06.02,1140987436,8.827743666,4.845877922,7.028304764,6.397001859,0,4.285783461,0,6.547292009,0,4.845877922,6.22921518,6.397001859,0,0,0,3.357914652,0,0,3.357914652,0,4.845877922,0,4.845877922,6.039314725,6.22921518,7.465965978,0,0,0,0,0,0,5.248318786,0,4.845877922,0,0,0,0,7.028304764,3.357914652,0,4.845877922,0,0,3.357914652,0,7.539558498,6.547292009,4.285783461,4.285783461,0,0,0,9.361796769,5.820573698,7.676356914,3.357914652,0,0,0,6.397001859,0,7.028304764,7.539558498,5.562635767,0,6.039314725,3.357914652,6.68339252,0,7.306460997,0,8.736802836,0,0,6.22921518,0,0
PGS4_210818_701_A01,H21.28.027.11.03.03,1138804864,8.983370287,0,3.18302819,0,0,4.872208217,0,0,7.415525453,0,0,2.333726308,0,0,2.333726308,0,5.629143426,0,0,5.223789906,2.333726308,0,0,2.333726308,6.614494474,0,0,0,0,0,0,7.309260136,0,3.714044507,0,5.629143426,3.18302819,7.112657839,2.333726308,0,5.223789906,0,0,0,0,0,0,5.847365589,8.411294037,0,8.542170034,0,3.18302819,0,8.064525988,8.718601174,0,0,0,5.223789906,0,7.722021749,0,5.058682627,0,6.123044761,0,7.19454075,0,7.514497654,4.658002511,6.933474845,0,8.662154624,0,0,2.333726308,4.101333112,0
PGS4_210818_702_A01,H21.28.027.11.04.02,1138805859,6.354739406,2.717033159,3.226938336,0,0,0,0,4.358478845,5.961788119,0,3.226938336,4.984751539,0,0,3.900913317,0,0,0,0,1.921282574,0,0,4.358478845,3.900913317,6.199230716,0,0,0,0,0,0,2.717033159,0,0,1.921282574,0,0,0,0,0,0,0,1.921282574,0,0,0,0,3.602930153,0,0,1.921282574,0,0,0,6.143432355,5.106480477,0,2.717033159,3.602930153,3.602930153,0,4.705334725,1.921282574,4.147760756,0,1.921282574,0,4.358478845,2.717033159,5.106480477,0,5.677416164,0,5.420008859,0,0,1.921282574,4.984751539,0
PGS4_210818_703_A01,H21.28.027.11.04.03,1138806209,8.831026376,0,1.98211667,0,0,1.98211667,2.786898638,0,7.214670245,0,5.500191579,2.786898638,0,5.298636252,0,0,0,4.436632297,0,0,3.300441343,0,2.786898638,0,5.591307412,0,4.620925546,0,0,0,0,0,4.784321087,0,1.98211667,0,0,0,0,2.786898638,5.500191579,4.620925546,0,0,0,0,0,7.634436707,1.98211667,5.186210339,7.185722104,5.064277243,0,1.98211667,7.031569532,6.99865909,4.225300967,0,0,0,0,6.0425547,3.977610985,0,0,5.757903659,0,3.977610985,3.300441343,0,2.786898638,7.298184625,0,6.530951095,4.620925546,0,2.786898638,0,0
PGS4_210826_701_A01,H21.28.028.11.04.03,1138806680,6.852128482,3.294257451,4.218785714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.294257451,0,10.30016285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.164031762,0,0,0,0,0,0,0,9.229015833,0,0,0,7.14934544,0,0,11.28947043,0,0,8.46516302,0,0,0,3.294257451,0,5.969707815,0,3.294257451,0,0,0,0,3.294257451,10.41632733,0,3.294257451,0,0,3.294257451,0,0
PGS4_210826_801_A01,H21.28.028.11.03.02,1138807307,7.696361625,5.080589942,7.326437182,7.194040265,0,0,0,0,6.56718085,0,0,2.508733298,0,0,0,0,3.37606853,0,2.508733298,5.717079158,4.865285884,0,4.304861934,7.879951274,0,3.913952583,0,0,0,0,0,4.304861934,6.157205939,0,0,0,2.508733298,0,0,0,0,0,0,0,0,0,0,6.249051361,8.212110662,8.987689731,9.460824965,0,0,0,0,7.194040265,0,5.433654367,2.508733298,5.433654367,0,7.447698709,0,7.368000515,0,7.850929913,0,7.879951274,2.508733298,7.908400332,0,8.847802035,0,6.886062842,0,0,3.913952583,0,3.37606853
PGS4_210827_701_A01,H21.28.029.11.04.04,1138808177,9.811140995,0,6.425170322,3.067919772,3.067919772,2.23045412,0,0,4.282742521,6.153065926,0,0,0,0,0,0,0,0,0,3.594363448,0,0,8.039960798,0,0,0,3.594363448,0,0,0,0,2.23045412,0,0,0,3.067919772,0,0,0,0,6.295523784,0,0,0,0,0,0,3.594363448,6.226052503,0,8.07988805,0,0,0,8.488656485,3.594363448,0,0,0,0,0,8.193439224,0,3.067919772,0,0,0,0,0,0,0,2.23045412,0,9.85782086,0,0,8.396803075,0,0
PGS4_210827_702_A01,H21.28.029.11.05.02,1138808542,11.11387053,0,6.353365587,0,0,0,0,0,8.233498013,0,0,4.58946213,0,0,0,0,0,0,0,0,0,0,0,6.543803356,0,9.022886086,0,0,4.58946213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.796666481,5.559184065,0,7.99336118,0,0,0,0,0,0,0,0,0,0,4.58946213,0,9.022886086,0,6.999011621,0,0,0,0,6.133911001,11.67844425,6.543803356,8.057245343,0,0,3.648176103,0,0
PGS4_210827_703_A01,H21.28.029.11.05.03,1138810440,9.155552095,2.039445394,6.241477795,6.180906051,0,0,0,0,7.793584469,0,0,7.400770445,0,7.261463676,0,0,0,0,0,0,4.694155738,0,3.36913478,6.820070291,7.139442489,0,4.509450271,0,0,6.180906051,0,0,0,0,0,0,0,0,0,0,5.372999824,0,0,0,0,0,0,7.290421954,7.201742747,3.748836751,6.241477795,5.138307501,0,0,8.685223452,5.004894455,6.299608567,0,2.039445394,0,5.26042077,8.300116141,0,5.138307501,4.694155738,4.857875135,0,7.040637535,2.039445394,5.832782297,5.477426245,8.285806618,0,9.297825773,0,0,4.049140501,4.509450271,0
PGS4_210827_801_A01,H21.28.029.11.03.02,1138810618,10.0281692,0,10.29923435,0,0,0,0,3.699406736,5.208364526,0,0,5.613613594,0,0,0,0,0,0,0,0,4.642781873,0,0,4.642781873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.591343741,0,0,0,0,0,3.699406736,0,0,0,8.716559985,0,0,0,0,0,5.613613594,0,6.188720798,0,0,0,0,0,6.188720798,0,0,4.642781873,0,0
PGS4_210827_802_A01,H21.28.029.11.03.03,1138816044,8.453153447,1.941569086,6.226354983,6.977442575,0,0,0,0,8.197938557,0,0,5.853612453,0,3.926583951,0,4.731785377,0,0,0,4.731785377,4.173718446,0,4.568631421,6.977442575,6.331893186,0,0,0,0,3.926583951,0,0,0,0,3.926583951,0,0,0,0,0,1.941569086,0,0,0,0,0,0,8.679963504,0,0,6.767745022,0,0,0,8.935730513,6.430234396,0,0,0,5.704378865,0,8.867161469,0,0,1.941569086,0,0,0,0,4.878348661,4.384645535,4.731785377,0,11.35255849,0,0,0,0,0
PGS4_210827_803_A01,H21.28.029.11.03.05,1138816652,8.419481926,1.934092169,5.436982588,5.770991316,0,0,2.731780998,1.934092169,7.091975252,3.242469527,6.160565213,5.339823721,0,6.556205664,3.618885079,4.375013783,0,0,0,0,3.917133768,0,5.001583147,6.999570669,8.282399705,0,0,0,0,0,0,0,2.731780998,5.770991316,0,3.618885079,0,0,0,3.242469527,6.831054282,5.23564613,5.123356242,0,0,0,0,7.061826583,6.934506624,0,4.868576086,2.731780998,3.917133768,0,7.206638784,6.321901484,5.001583147,0,0,0,0,7.57009996,0,4.375013783,3.917133768,6.420234389,0,7.945207958,0,2.731780998,0,7.411786809,3.242469527,8.718995166,7.061826583,5.23564613,0,7.806637866,0
